companyId,candidateId,score
0,1028,6
0,4614,2
0,2585,1
0,3613,2
0,1054,7
0,2595,8
0,4646,8
0,3112,8
0,1600,2
0,4672,1
0,2628,5
0,2123,7
0,92,6
0,3169,4
0,3690,9
0,628,1
0,1663,2
0,2690,4
0,134,5
0,187,7
0,1213,10
0,3261,6
0,2755,6
0,4804,9
0,4294,1
0,4808,3
0,712,9
0,1738,7
0,2251,5
0,2255,1
0,3792,7
0,4822,2
0,731,7
0,3306,6
0,4847,3
0,2800,4
0,1781,8
0,2807,4
0,2809,2
0,2303,7
0,2816,7
0,4356,6
0,2319,2
0,2322,2
0,1300,2
0,4885,1
0,790,1
0,2842,9
0,1825,2
0,1826,7
0,4905,2
0,299,6
0,3886,10
0,1838,2
0,4912,6
0,4917,4
0,4927,9
0,3904,10
0,4932,4
0,845,9
0,4946,4
0,2899,2
0,854,4
0,869,2
0,3430,7
0,2930,5
0,3955,5
0,1397,1
0,2934,1
0,2432,6
0,4481,6
0,3458,10
0,1927,7
0,2953,7
0,3979,7
0,1425,8
0,409,10
0,2461,1
0,2464,3
0,4004,9
0,2983,5
0,3501,9
0,962,4
0,3011,2
0,457,6
0,2508,5
0,4564,3
0,4059,9
0,1500,9
0,488,2
0,2033,2
0,498,5
0,4594,4
0,499,9
0,1527,1
0,1529,7
0,3579,8
0,2044,5
1,2560,3
1,1027,9
1,518,9
1,4105,3
1,3595,4
1,2573,5
1,3087,1
1,3088,1
1,4118,3
1,3608,7
1,538,3
1,2075,6
1,4635,1
1,29,10
1,2586,6
1,4130,7
1,547,2
1,37,9
1,3622,6
1,2090,5
1,4650,1
1,556,9
1,2094,5
1,563,9
1,567,8
1,4663,9
1,3642,10
1,577,6
1,2628,4
1,2629,8
1,1606,8
1,3653,9
1,73,9
1,4175,1
1,2639,2
1,1108,7
1,2645,6
1,1625,3
1,4700,10
1,3165,3
1,3170,7
1,2147,4
1,3684,1
1,1124,8
1,101,4
1,1639,3
1,4092,5
1,4601,4
1,2670,9
1,2672,7
1,625,6
1,2674,6
1,1648,4
1,3190,9
1,1142,3
1,2170,7
1,123,10
1,4731,3
1,126,3
1,4223,5
1,2688,2
1,4225,10
1,3715,6
1,4740,8
1,3719,9
1,4745,8
1,1165,3
1,656,7
1,4248,8
1,1688,8
1,1185,7
1,162,1
1,2210,9
1,4772,1
1,1700,9
1,166,8
1,1702,5
1,1193,2
1,4783,7
1,2738,3
1,2227,1
1,1206,4
1,2746,5
1,4283,3
1,2748,5
1,706,5
1,2242,5
1,711,4
1,715,2
1,2763,2
1,3790,2
1,4306,7
1,1243,4
